site_id,ipv4
CLCAE00009A,10.97.36.235
CLCAE00028A,10.97.37.18
CLCAE00045A,10.97.37.12
CLCAE00049A,10.97.36.91
CLCAE00059A,10.97.36.218
CLCAE00061A,10.97.37.20
CLCAE00062A,10.97.37.26
CLCAE00066A,10.97.36.208
CLCAE00106A,10.97.36.175
CLCAE00113A,10.97.36.5
CLCAE00118A,10.97.36.104
CLCAE00126A,10.97.36.194
CLCAE00127A,10.147.83.142
CLCAE00128A,10.96.89.225
CLCAE00133A,10.97.37.62
CLCAE00135A,10.97.36.239
CLCAE00136A,10.147.83.248
CLCAE00140A,10.97.37.58
CLCAE00141A,10.97.36.233
CLCAE00147A,10.147.83.175
CLCAE00154A,10.97.37.7
CLCAE00155A,10.97.36.234
CLCAE00157A,10.97.37.38
CLCAE00158A,10.96.89.239
CLCAE00165A,10.97.36.187
CLCAE00171A,10.97.36.229
CLCAE00172A,10.97.36.210
CLCAE00173A,10.97.36.236
CLCAE00174A,10.97.37.14
CLCAE00179A,10.96.89.162
CLCAE00180A,10.147.83.207
CLCAE00181A,10.97.36.221
CLCAE00190A,10.97.36.232
CLCAE00196A,10.97.36.105
CLCAE00200A,10.97.36.94
CLCAE00204A,10.97.36.64
CLCAE00205A,10.97.36.224
CLCAE00213A,10.97.36.31
CLCAE00215A,10.147.83.238
CLCAE00221A,10.97.37.22
CLCAE00225A,10.97.36.134
CLCAE00232A,10.97.36.223
CLCAE00237A,10.97.37.43
CLCAE00239A,10.97.36.209
CLCAE00240A,10.97.36.93
CLCAE00241A,10.97.36.195
CLCAE00242A,10.97.36.168
CLCAE00249A,10.97.36.20
CLCAE00263A,10.97.37.55
CLCAE00288A,10.97.36.62
CLCAE00292A,10.97.37.6
CLCAE00294A,10.97.36.149
CLCAE00296A,10.97.36.6
CLCAE00299A,10.97.37.8
CLCAE00302A,10.97.36.231
CLCAE00303A,10.97.37.48
CLCAE00308A,10.97.37.10
CLCAE00311A,10.97.36.188
CLCAE00320A,10.147.83.173
CLCHS00002A,10.96.89.75
CLCHS00006A,10.96.89.98
CLCHS00007A,10.96.89.35
CLCHS00008A,10.96.89.112
CLCHS00009A,10.96.89.10
CLCHS00010A,10.96.89.4
CLCHS00011A,10.96.89.90
CLCHS00012A,10.96.89.110
CLCHS00013A,10.96.89.79
CLCHS00015A,10.96.89.135
CLCHS00017A,10.96.89.20
CLCHS00019A,10.96.89.66
CLCHS00020A,10.96.89.95
CLCHS00021A,10.96.89.126
CLCHS00024A,10.96.89.148
CLCHS00025A,10.96.89.19
CLCHS00026A,10.112.15.248
CLCHS00027A,10.96.89.237
CLCHS00033A,10.96.89.30
CLCHS00035A,10.112.15.249
CLCHS00037A,10.112.15.126
CLCHS00039A,10.96.89.235
CLCHS00042A,10.112.15.132
CLCHS00044A,10.96.89.184
CLCHS00045A,10.96.89.127
CLCHS00049A,10.96.89.18
CLCHS00050A,10.96.89.34
CLCHS00051A,10.96.89.136
CLCHS00052A,10.96.89.96
CLCHS00053A,10.96.89.104
CLCHS00057A,10.96.89.230
CLCHS00058A,10.96.89.173
CLCHS00060A,10.96.89.211
CLCHS00061A,10.96.89.189
CLCHS00066A,10.96.89.117
CLCHS00067A,10.96.89.183
CLCHS00069A,10.96.89.103
CLCHS00070A,10.96.89.17
CLCHS00071A,10.96.89.107
CLCHS00073A,10.96.89.114
CLCHS00075A,10.96.89.118
CLCHS00080A,10.96.89.16
CLCHS00082A,10.96.89.80
CLCHS00083A,10.96.89.192
CLCHS00084A,10.96.89.236
CLCHS00085A,10.96.89.137
CLCHS00087A,10.96.89.138
CLCHS00088A,10.96.89.202
CLCHS00090A,10.96.89.165
CLCHS00092A,10.96.89.88
CLCHS00093A,10.96.89.56
CLCHS00094A,10.96.89.222
CLCHS00095A,10.96.89.55
CLCHS00096A,10.96.89.2
CLCHS00097A,10.96.89.231
CLCHS00101A,10.96.89.15
CLCHS00102A,10.96.89.78
CLCHS00104A,10.96.89.238
CLCHS00108A,10.96.89.133
CLCHS00109A,10.96.89.14
CLCHS00110A,10.96.89.91
CLCHS00120A,10.96.89.159
CLCHS00121A,10.96.89.3
CLCHS00122A,10.96.89.119
CLCHS00123A,10.96.89.116
CLCHS00124A,10.96.89.218
CLCHS00125A,10.112.15.127
CLCHS00129A,10.112.15.244
CLCHS00131A,10.96.89.1
CLCHS00136A,10.96.89.97
CLCHS00138A,10.96.89.106
CLCHS00140A,10.96.89.33
CLCHS00141A,10.96.89.57
CLCHS00144A,10.112.15.250
CLCHS00147A,10.96.89.69
CLCHS00148A,10.96.89.13
CLCHS00154A,10.96.89.81
CLCHS00159A,10.96.89.94
CLCHS00160A,10.112.15.247
CLCHS00165A,10.96.89.242
CLCHS00169A,10.96.89.12
CLCHS00175A,10.96.89.32
CLCHS00176A,10.96.89.128
CLCHS00180A,10.112.15.129
CLCHS00183A,10.96.89.178
CLCHS00184A,10.96.89.121
CLCHS00186A,10.96.89.253
CLCHS00188A,10.96.89.234
CLCHS00195A,10.96.89.232
CLCHS00207A,10.96.89.11
CLCHS00208A,10.96.89.93
CLCHS00209A,10.96.89.72
CLCHS00210A,10.96.89.89
CLCHS00212A,10.96.89.161
CLCHS00213A,10.96.89.166
CLCHS00218A,10.96.89.151
CLCHS00219A,10.96.89.120
CLCHS00220A,10.96.89.102
CLCHS00227A,10.112.15.133
CLCHS00229A,10.112.15.246
CLCHS00230A,10.96.89.58
CLCHS00232A,10.96.89.187
CLCHS00233A,10.96.89.168
CLCHS00234A,10.112.15.236
CLCHS00235A,10.96.89.59
CLCHS00236A,10.96.89.99
CLCHS00238A,10.96.89.177
CLCHS00239A,10.96.89.73
CLCHS00241A,10.96.89.82
CLCHS00242A,10.96.89.167
CLCHS00246A,10.112.15.245
CLCHS00252A,10.96.89.244
CLCHS00264A,10.96.89.111
CLCHS00266A,10.96.89.209
CLCLT00001A,10.112.14.16
CLCLT00003A,10.112.14.17
CLCLT00005A,10.112.14.133
CLCLT00009A,10.112.14.202
CLCLT00012A,10.112.14.18
CLCLT00013A,10.112.14.134
CLCLT00014A,10.112.14.105
CLCLT00015A,10.112.14.203
CLCLT00023A,10.112.14.135
CLCLT00025A,10.112.14.136
CLCLT00026A,10.112.14.137
CLCLT00027A,10.112.14.106
CLCLT00028A,10.112.14.19
CLCLT00029A,10.112.15.114
CLCLT00034A,10.112.15.147
CLCLT00035A,10.112.14.107
CLCLT00038A,10.112.15.83
CLCLT00039A,10.112.14.201
CLCLT00040A,10.112.14.108
CLCLT00041A,10.112.14.20
CLCLT00045A,10.112.14.138
CLCLT00047A,10.112.15.86
CLCLT00048A,10.112.14.51
CLCLT00049A,10.112.14.217
CLCLT00050A,10.112.15.39
