Site ID,GPS Alarm,GPSstatus,GPSphaselock,Satellite Count,Alpha_TB_MAC,Alpha_TB_IP,Beta_TB_MAC,Beta_TB_IP,Gamma_TB_MAC,Gamma_TB_IP,Alpha_MB_MAC,Alpha_MB_IP,Beta_MB_MAC,Beta_MB_IP,Gamma_MB_MAC,Gamma_MB_IP,BV95MAC,BV95IP,SITEBOSSMAC,SITEBOSSIP,K8S,VMWAREPORT,VMWAREMAC,VMWAREIP,BV201,BV311,BV318,BV323,SITEBOSSPORT,BMCPORT,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port13,Port14,Port15,Port18,Port19,Port24,Port27,Port29,Storm Control
CLFAY00122A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
CLFAY00004A,None-None,Available-Up,Phase Locked,9,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,908d.6ef9.3af8,10.145.1.174,0010.a3d1.42a9,10.145.1.173,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,up,up,down,up,up,down,up,up,up,up,up,up,up,up,down,admin-down,up,% No such configuration item(s)
CLFAY00114A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
CLFAY00168A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
CLFAY00246A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
CLFAY00354A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
CLCHS00035A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
CLGSP00247A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
CLGSP00364A,None-None,Available-Up,Phase Locked,9,34fe.9e3a.1a88,10.6.19.235,34fe.9e3a.1a9a,10.6.19.236,34fe.9e3a.1a8a,10.6.19.237,34fe.9e3a.0f4f,10.6.19.233,34fe.9e3a.0f55,10.6.19.234,34fe.9e3a.0f57,10.6.19.238,30d0.42e0.3522,10.144.63.205,0010.a3d1.4636,10.144.63.206,Port 14.311,Not Reachable,Not Reachable,Not Reachable,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,up,up,up,admin-down,up,storm-control unknown-unicast pps 5000
CLGSP00202A,Not Reachable-Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable
