Site ID,Reachability Status
CLCAE00009A,YES
CLCAE00028A,YES
CLCAE00045A,YES
CLCAE00049A,YES
CLCAE00059A,YES
CLCAE00061A,YES
CLCAE00062A,YES
CLCAE00066A,YES
CLCAE00106A,YES
CLCAE00113A,YES
CLCAE00118A,YES
CLCAE00126A,YES
CLCAE00127A,YES
CLCAE00128A,YES
CLCAE00133A,YES
CLCAE00135A,YES
CLCAE00136A,YES
CLCAE00140A,YES
CLCAE00141A,NO
CLCAE00147A,YES
CLCAE00154A,YES
CLCAE00155A,YES
CLCAE00157A,YES
CLCAE00158A,YES
CLCAE00165A,YES
CLCAE00171A,YES
CLCAE00172A,YES
CLCAE00173A,YES
CLCAE00174A,YES
CLCAE00179A,YES
CLCAE00180A,YES
CLCAE00181A,YES
CLCAE00190A,YES
CLCAE00196A,YES
CLCAE00200A,YES
CLCAE00204A,YES
CLCAE00205A,YES
CLCAE00213A,YES
CLCAE00215A,YES
CLCAE00221A,YES
CLCAE00225A,YES
CLCAE00232A,YES
CLCAE00237A,YES
CLCAE00239A,YES
CLCAE00240A,YES
CLCAE00241A,YES
CLCAE00242A,YES
CLCAE00249A,YES
CLCAE00263A,YES
CLCAE00288A,YES
CLCAE00292A,YES
CLCAE00294A,YES
CLCAE00296A,YES
CLCAE00299A,YES
CLCAE00302A,YES
CLCAE00303A,YES
CLCAE00308A,YES
CLCAE00311A,YES
CLCAE00320A,YES
CLCHS00002A,YES
CLCHS00006A,YES
CLCHS00007A,YES
CLCHS00008A,YES
CLCHS00009A,YES
CLCHS00010A,YES
CLCHS00011A,YES
CLCHS00012A,YES
CLCHS00013A,YES
CLCHS00015A,YES
CLCHS00017A,YES
CLCHS00019A,YES
CLCHS00020A,YES
CLCHS00021A,YES
CLCHS00024A,YES
CLCHS00025A,YES
CLCHS00026A,YES
CLCHS00027A,YES
CLCHS00033A,YES
CLCHS00035A,YES
CLCHS00037A,YES
CLCHS00039A,YES
CLCHS00042A,YES
CLCHS00044A,YES
CLCHS00045A,YES
CLCHS00049A,YES
CLCHS00050A,YES
CLCHS00051A,YES
CLCHS00052A,YES
CLCHS00053A,YES
CLCHS00057A,YES
CLCHS00058A,NO
CLCHS00060A,YES
CLCHS00061A,YES
CLCHS00066A,YES
CLCHS00067A,YES
CLCHS00069A,YES
CLCHS00070A,YES
CLCHS00071A,YES
CLCHS00073A,YES
CLCHS00075A,YES
CLCHS00080A,YES
CLCHS00082A,YES
CLCHS00083A,YES
CLCHS00084A,YES
CLCHS00085A,YES
CLCHS00087A,YES
CLCHS00088A,YES
CLCHS00090A,YES
CLCHS00092A,YES
CLCHS00093A,YES
CLCHS00094A,YES
CLCHS00095A,YES
CLCHS00096A,YES
CLCHS00097A,YES
CLCHS00101A,YES
CLCHS00102A,YES
CLCHS00104A,YES
CLCHS00108A,YES
CLCHS00109A,YES
CLCHS00110A,YES
CLCHS00120A,YES
CLCHS00121A,YES
CLCHS00122A,YES
CLCHS00123A,YES
CLCHS00124A,YES
CLCHS00125A,YES
CLCHS00129A,NO
CLCHS00131A,YES
CLCHS00136A,YES
CLCHS00138A,YES
CLCHS00140A,YES
CLCHS00141A,YES
CLCHS00144A,YES
CLCHS00147A,YES
CLCHS00148A,YES
CLCHS00154A,YES
CLCHS00159A,YES
CLCHS00160A,YES
CLCHS00165A,YES
CLCHS00169A,YES
CLCHS00175A,YES
CLCHS00176A,YES
CLCHS00180A,YES
CLCHS00183A,YES
CLCHS00184A,YES
CLCHS00186A,YES
CLCHS00188A,YES
CLCHS00195A,YES
CLCHS00207A,YES
CLCHS00208A,NO
CLCHS00209A,YES
CLCHS00210A,YES
CLCHS00212A,YES
CLCHS00213A,YES
CLCHS00218A,YES
CLCHS00219A,YES
CLCHS00220A,YES
CLCHS00227A,YES
CLCHS00229A,YES
CLCHS00230A,YES
CLCHS00232A,YES
CLCHS00233A,YES
CLCHS00234A,YES
CLCHS00235A,YES
CLCHS00236A,YES
CLCHS00238A,YES
CLCHS00239A,YES
CLCHS00241A,YES
CLCHS00242A,YES
CLCHS00246A,YES
CLCHS00252A,YES
CLCHS00264A,YES
CLCHS00266A,YES
CLCLT00001A,YES
CLCLT00003A,YES
CLCLT00005A,YES
CLCLT00009A,YES
CLCLT00012A,YES
CLCLT00013A,YES
CLCLT00014A,YES
CLCLT00015A,YES
CLCLT00023A,NO
CLCLT00025A,YES
CLCLT00026A,YES
CLCLT00027A,YES
CLCLT00028A,YES
CLCLT00029A,YES
CLCLT00034A,YES
CLCLT00035A,YES
CLCLT00038A,YES
CLCLT00039A,YES
CLCLT00040A,YES
CLCLT00041A,YES
CLCLT00045A,YES
CLCLT00047A,YES
CLCLT00048A,YES
CLCLT00049A,YES
CLCLT00050A,YES
CLCLT00051A,YES
CLCLT00052A,YES
CLCLT00053A,YES
CLCLT00055A,YES
CLCLT00057A,YES
CLCLT00062A,YES
CLCLT00063A,YES
CLCLT00069A,YES
CLCLT00077A,YES
CLCLT00078A,YES
CLCLT00079A,YES
CLCLT00080A,YES
CLCLT00081A,YES
CLCLT00082A,YES
CLCLT00084A,YES
CLCLT00085A,YES
CLCLT00086A,YES
CLCLT00087A,YES
CLCLT00089A,YES
CLCLT00090A,YES
CLCLT00091A,YES
CLCLT00092A,YES
CLCLT00093A,YES
CLCLT00094A,YES
CLCLT00096A,YES
CLCLT00097A,YES
CLCLT00098A,YES
CLCLT00099A,YES
CLCLT00100A,YES
CLCLT00102A,YES
CLCLT00103A,YES
CLCLT00104A,YES
CLCLT00108A,YES
CLCLT00110A,YES
CLCLT00111A,YES
CLCLT00112A,YES
CLCLT00113A,YES
CLCLT00116A,YES
CLCLT00117A,YES
CLCLT00118A,YES
CLCLT00120A,YES
CLCLT00122A,YES
CLCLT00123A,YES
CLCLT00125A,YES
CLCLT00126A,YES
CLCLT00128A,YES
CLCLT00129A,YES
CLCLT00130A,YES
CLCLT00131A,YES
CLCLT00132A,YES
CLCLT00133A,YES
CLCLT00134A,YES
CLCLT00137A,YES
CLCLT00140A,YES
CLCLT00142A,YES
CLCLT00143A,YES
CLCLT00144A,YES
CLCLT00146A,YES
CLCLT00148A,YES
CLCLT00150A,YES
CLCLT00151A,YES
CLCLT00153A,YES
CLCLT00154A,YES
CLCLT00155A,YES
CLCLT00156A,YES
CLCLT00157A,YES
CLCLT00159A,YES
CLCLT00160A,YES
CLCLT00161A,YES
CLCLT00162A,YES
CLCLT00163A,YES
CLCLT00164A,YES
CLCLT00165A,YES
CLCLT00166A,YES
CLCLT00168A,YES
CLCLT00169A,YES
CLCLT00172A,YES
CLCLT00173A,YES
CLCLT00174A,YES
CLCLT00175A,YES
CLCLT00178A,YES
CLCLT00181A,YES
CLCLT00182A,YES
CLCLT00183A,YES
CLCLT00184A,YES
CLCLT00185A,YES
CLCLT00186A,YES
CLCLT00187A,YES
CLCLT00189A,YES
CLCLT00190A,YES
CLCLT00191A,YES
CLCLT00192A,YES
CLCLT00195A,YES
CLCLT00196A,YES
CLCLT00197A,YES
CLCLT00198A,YES
CLCLT00200A,YES
CLCLT00201A,YES
CLCLT00205A,YES
CLCLT00213A,YES
CLCLT00214A,YES
CLCLT00215A,YES
CLCLT00216A,YES
CLCLT00217A,YES
CLCLT00218A,YES
CLCLT00222A,YES
CLCLT00226A,YES
CLCLT00227A,YES
CLCLT00229A,YES
CLCLT00230A,YES
CLCLT00233A,YES
CLCLT00234A,YES
CLCLT00236A,YES
CLCLT00240A,YES
CLCLT00241A,YES
CLCLT00243A,YES
CLCLT00246A,YES
CLCLT00252A,YES
CLCLT00253A,YES
CLCLT00256A,YES
CLCLT00258A,YES
CLCLT00259A,YES
CLCLT00260A,YES
CLCLT00261A,YES
CLCLT00262A,YES
CLCLT00263A,YES
CLCLT00274A,YES
CLCLT00275A,YES
CLCLT00305A,YES
CLCLT00314A,YES
CLCLT00315A,YES
CLCLT00316A,YES
CLCLT00317A,YES
CLCLT00318A,YES
CLCLT00319A,YES
CLCLT00320A,YES
CLCLT00323A,YES
CLCLT00325A,YES
CLCLT00326A,YES
CLCLT00327A,YES
CLCLT00329A,YES
CLCLT00330A,YES
CLCLT00332A,YES
CLCLT00335A,YES
CLCLT00336A,YES
CLCLT00337A,YES
CLCLT00338A,YES
CLCLT00339A,YES
CLCLT00340A,YES
CLCLT00342A,YES
CLCLT00343A,YES
CLCLT00344A,YES
CLCLT00345A,YES
CLCLT00352A,YES
CLCLT00354A,YES
CLCLT00355A,YES
CLCLT00356A,YES
CLCLT00357A,YES
CLCLT00358A,YES
CLCLT00359A,YES
CLCLT00360A,YES
CLCLT00361A,YES
CLCLT00362A,YES
CLCLT00363A,YES
CLCLT00366A,YES
CLCLT00368A,YES
CLCLT00369A,YES
CLCLT00370A,YES
CLCLT00371A,YES
CLCLT00372A,YES
CLCLT00374A,YES
