SiteID,CSR IP Info
CLFAY00122A,10.112.15.201
CLFAY00004A,10.112.15.203
CLFAY00114A,10.112.15.210
CLFAY00168A,10.112.15.224
CLFAY00246A,10.112.15.227
CLFAY00354A,10.112.15.234
CLCHS00035A,10.112.15.249
CLGSP00247A,10.147.81.216
CLGSP00364A,10.147.81.253
CLGSP00202A,10.147.82.11
CLGSP00157A,10.147.82.24
CLGSP00148A,10.147.82.29
CLCHS00109A,10.96.89.14
CLCHS00080A,10.96.89.16
CLCHS00096A,10.96.89.2
CLCHS00095A,10.96.89.55
CLCHS00093A,10.96.89.56
CLCHS00230A,10.96.89.58
CLFAY00378A,10.96.89.61
CLFAY00527A,10.96.89.63
CLFAY00340A,10.96.89.9
