SITE ID,GNODEB ID,TOTAL POD COUNT,POD TYPE,POD NAME,POD STATUS,REBOOT COUNT,UPTIME,INTERFACE CONNECTION,INTERFACE PING STATUS,PINGED IP,Packet Transmitted,Packet Received,PACKET LOSS%,INTERFACE LINK STATUS
CLCLT00216A,535004,8,CUCP,gnbmgr,2/2 Running,0,43h,,,,,,,
CLCLT00216A,535004,8,CUCP,ngclientiwf,2/2 Running,0,43h,CUCP to AMF - N2 Link,PASS//PASS,10.230.65.150//10.230.1.150,5//5,5//5,0%//0%,ESTABLISHED//ESTABLISHED
CLCLT00216A,535004,8,CUCP,sctpe1iwf,2/2 Running,0,43h,CUCP to CUUP - E1C Link,Not Connected,Not Connected,Not Connected,Not Connected,Not Connected,Not Connected
CLCLT00216A,535004,8,CUCP,sctpf1iwf,2/2 Running,0,43h,CUCP to DU - F1C Link,PASS,10.113.103.146,5,5,0%,ESTABLISHED
CLCLT00216A,535004,8,CUCP,sctpxniwf,2/2 Running,0,43h,,,,,,,
CLCLT00216A,535004,8,CUCP,ueconmgr,2/2 Ru[K,use1atlb324p1-ns-mv-cucp[1m[91m535004[m000,ueconmgr-745fcd796d-z8qfv,,,,,,,
CLCLT00216A,535004,5,CUUP,bccsvc,2/2 Running,0,14d,CUUP to DU - F1U Link,FAIL,10.113.71.146,0,0,0%
CLCLT00216A,535004,5,CUUP,bccsvc,2/2 Running,0,14d,CUUP to UPF DATA - N3 Link,PASS,10.255.66.90,5,5,0%
CLCLT00216A,535004,5,CUUP,bccsvc,2/2 Running,0,14d,CUUP to UPF VOICE- N3 Link,PASS,10.255.58.5,5,5,0%
CLCLT00216A,535004,5,CUUP,dalsvc,Not Connected,Not Connected,Not Connected,,,,,,,
CLCLT00216A,535004,5,CUUP,dprmsvc,Not Connected,Not Connected,Not Connected,,,,,,,
CLCLT00216A,535004,5,CUUP,gwsvc,2/2 Running,0,14d,,,,,,,
CLCLT00216A,535004,5,CUUP,intfmgrsvc,2/2 Running,0,14d,,,,,,,
CLCLT00216A,535004,5,CUUP,iwfsvc,2/2 Running,0,14d,CUUP to CUCP - E1U Link,PASS,10.231.226.170,5,5,0%,ESTABLISHED
CLCLT00216A,535004,5,CUUP,srmsvc,2/2 Running,0,14d,,,,,,,
